AOI불량률,LOT,Result Ng2,초물 DES 속도,DRY FILM 정보,선폭 OFFSET,양산DES 속도,통합코드,거래처,제품군,공법구분,LAYER,도금구분,노광 설비정보,DES 설비정보,정면 설비정보,Cu 표면두께 USL,Cu 표면두께 SL,Cu 표면두께 LSL,Cu 표면두께 Max_Val,Cu 표면두께 AVG_VAL,Cu 표면두께 Min_Val,Cu 표면두께 Std_Val,Cu 표면두께 Median_Val,부식 Speed,재작업 공정,재작업사유,CL_Etching(염화동) - Cu,CL_Etching(염화동) - HCl,CL_Etching(염화동) - 비중,CL_Etching(염화동) - 온도,CL_Etching-첨가제(HB-120EF),CL_Etching량,CL_Soft Etch - H2SO4,CL_Soft Etch - SPS,CL_박리액 - 농도,CL_수세수 - pH,CL_현상액 - 농도,LCL_Etch factor,LCL_Etching(염화동) - Cu,LCL_Etching(염화동) - HCl,LCL_Etching(염화동) - 비중,LCL_Etching(염화동) - 온도,LCL_Etching-첨가제(HB-120EF),LCL_Etching량,LCL_Soft Etch - H2SO4,LCL_Soft Etch - SPS,LCL_박리액 - 농도,LCL_수세수 - pH,LCL_현상액 - pH,LCL_현상액 - 농도,LSL_Etch factor,LSL_Etching(염화동) - Cu,LSL_Etching(염화동) - HCl,LSL_Etching(염화동) - 비중,LSL_Etching(염화동) - 온도,LSL_Etching-첨가제(HB-120EF),LSL_Etching량,LSL_Soft Etch - H2SO4,LSL_Soft Etch - SPS,LSL_박리액 - 농도,LSL_수세수 - pH,LSL_현상액 - pH,LSL_현상액 - 농도,SL_Etching(염화동) - Cu,SL_Etching(염화동) - HCl,SL_Etching(염화동) - 비중,SL_Etching(염화동) - 온도,SL_Etching-첨가제(HB-120EF),SL_Etching량,SL_Soft Etch - H2SO4,SL_Soft Etch - SPS,SL_박리액 - 농도,SL_수세수 - pH,SL_현상액 - 농도,USL_Etching(염화동) - Cu,USL_Etching(염화동) - HCl,USL_Etching(염화동) - 비중,USL_Etching(염화동) - 온도,USL_Etching-첨가제(HB-120EF),USL_Etching량,USL_Soft Etch - Cu,USL_Soft Etch - H2SO4,USL_Soft Etch - SPS,USL_박리액 - 농도,USL_수세수 - Cl-,USL_수세수 - pH,USL_현상액 - 농도,분석치_Etch factor,분석치_Etching(염화동) - Cu,분석치_Etching(염화동) - HCl,분석치_Etching(염화동) - 비중,분석치_Etching(염화동) - 온도,분석치_Etching-첨가제(HB-120EF),분석치_Etching량,분석치_Soft Etch - Cu,분석치_Soft Etch - H2SO4,분석치_Soft Etch - SPS,분석치_박리액 - 농도,분석치_수세수 - Cl-,분석치_수세수 - pH,분석치_현상액 - pH,분석치_현상액 - 농도
0,A23046,/OK,2.099471311,DF_2,-4.997505519,2.097562321,MDL-060,Client_H,PRD_B,Onyx,16,Beta,EXP-002,DES-002,PRE-002,49,39,29,34.16201109,32.85855798,30.36270019,0.958228845,33.01099477,2.1,,,155,1,1.35,48,3,45,3,30,3,6.4,1.1,4.3,134,0.79,1.315,44.5,2.72,42.9,2.3,16,2.3,5.6,10.5,0.96,4,125,0.7,1.3,43,2.6,42,2,10,2,5.3,10.1,0.9,155,1,1.35,48,3,45,3,30,3,6.4,1.1,185,1.3,1.4,53,3.4,48,30,4,50,4,1,7.5,1.3,46.81514026,152.5996399,1.011789852,1.344255617,48.0417142,2.856216786,45.11777771,1.198705751,3.214865172,30.89656669,3.284034649,0,6.385019593,11.3781921,1.070973682
0,A23047,/OK,2.101321927,DF_2,-5.001639325,2.099272675,MDL-060,Client_H,PRD_B,Onyx,16,Beta,EXP-002,DES-002,PRE-002,49,39,29,34.77641908,33.34560181,31.65072757,0.867150149,33.28918743,2.1,,,155,1,1.35,48,3,45,3,30,3,6.4,1.1,4.3,134,0.79,1.315,44.5,2.72,42.9,2.3,16,2.3,5.6,10.5,0.96,4,125,0.7,1.3,43,2.6,42,2,10,2,5.3,10.1,0.9,155,1,1.35,48,3,45,3,30,3,6.4,1.1,185,1.3,1.4,53,3.4,48,30,4,50,4,1,7.5,1.3,46.73116631,152.5409255,1.010161618,1.346773204,47.93130867,2.858078948,45.04624955,1.198337599,3.214582559,30.92772231,3.279729171,0,6.401024456,11.36304638,1.069428945
0,A23048,/OK,2.098609261,DF_2,-5.00000988,2.1014437,MDL-046,Client_H,PRD_B,Onyx,16,Beta,EXP-002,DES-002,PRE-006,50,40,30,42.14140256,40.19307586,38.33866314,0.924675921,40.14859005,2.1,동도금-화학동,설비 에러,155,1,1.35,48,3,45,3,30,3,6.4,1.1,4.3,134,0.79,1.315,44.5,2.72,42.9,2.3,16,2.3,5.6,10.5,0.96,4,125,0.7,1.3,43,2.6,42,2,10,2,5.3,10.1,0.9,155,1,1.35,48,3,45,3,30,3,6.4,1.1,185,1.3,1.4,53,3.4,48,30,4,50,4,1,7.5,1.3,46.77706052,152.7507322,1.009980485,1.345664727,48.0497445,2.858575252,45.00882288,1.199409092,3.216386159,30.87357828,3.278293334,0,6.384230561,11.35493858,1.06972302
0,A23049,/OK,1.999947137,DF_2,-5.001979211,2.002525224,MDL-066,Client_C,PRD_C,Garnet,6,Alpha,EXP-001,DES-001,PRE-003,31,23,15,28.55867698,26.11976936,23.2029478,1.218662437,26.19708853,2,,,155,0.5,1.37,48,3,45,3,30,3,6.4,1.1,4.3,134,0.36,1.335,44.5,2.72,42.9,2.3,19,2.3,5.6,10.5,0.96,4,125,0.3,1.32,43,2.6,42,2,15,2,5.3,10.1,0.9,155,0.5,1.37,48,3,45,3,30,3,6.4,1.1,185,0.7,1.42,53,3.4,48,30,4,45,4,1,7.5,1.3,5.295056435,154.8023137,0.500010396,1.367454206,48.06305267,2.91074704,45.10379186,1.200463686,3.080747335,36.90753794,3.035058972,0,6.370622959,11.33046766,1.059099044
0,A23050,/OK,2.096347337,DF_2,-5.005092666,2.100288679,MDL-024,Client_B,PRD_E,Zircon,18,Alpha,EXP-002,DES-002,PRE-006,39,32,25,32.46413275,31.36008054,30.34057467,0.505250098,31.3538085,2.1,,,155,1,1.35,48,3,45,3,30,3,6.4,1.1,4.3,134,0.79,1.315,44.5,2.72,42.9,2.3,16,2.3,5.6,10.5,0.96,4,125,0.7,1.3,43,2.6,42,2,10,2,5.3,10.1,0.9,155,1,1.35,48,3,45,3,30,3,6.4,1.1,185,1.3,1.4,53,3.4,48,30,4,50,4,1,7.5,1.3,46.77364545,152.2456906,1.011109778,1.343747722,47.94813496,2.858997753,45.05298452,1.201351614,3.219206568,30.89980854,3.27664595,0,6.402113306,11.37313863,1.070125966
0,A23051,/OK,2.70082514,DF_1,-7.503470069,2.702377016,MDL-050,Client_A,PRD_A,Ruby,12,Alpha,EXP-001,DES-001,PRE-004,24,17,10,18.34309554,16.49473811,15.48603192,0.70697908,16.42882789,2.7,,,155,0.5,1.37,48,3,45,3,30,3,6.4,1.1,4.3,134,0.36,1.335,44.5,2.72,42.9,2.3,19,2.3,5.6,10.5,0.96,4,125,0.3,1.32,43,2.6,42,2,15,2,5.3,10.1,0.9,155,0.5,1.37,48,3,45,3,30,3,6.4,1.1,185,0.7,1.42,53,3.4,48,30,4,45,4,1,7.5,1.3,5.291006384,154.4881966,0.499977536,1.365423543,48.1304444,2.914177809,45.16879274,1.201403638,3.077720116,36.91715091,3.040090447,0,6.368912944,11.30780598,1.060676088
0.0021,A23052,/미부식,2.701450794,DF_1,-7.4987049,2.600428749,MDL-012,Client_A,PRD_A,Quartz,10,Alpha,EXP-001,DES-001,PRE-001,24,17,10,17.75099571,16.74623207,16.00528543,0.448209107,16.66644278,2.6,,,155,0.5,1.37,48,3,45,3,30,3,6.4,1.1,4.3,134,0.36,1.335,44.5,2.72,42.9,2.3,19,2.3,5.6,10.5,0.96,4,125,0.3,1.32,43,2.6,42,2,15,2,5.3,10.1,0.9,155,0.5,1.37,48,3,45,3,30,3,6.4,1.1,185,0.7,1.42,53,3.4,48,30,4,45,4,1,7.5,1.3,5.291115441,154.7683929,0.500118063,1.366609482,48.10821505,2.913582392,45.09464274,1.199068144,3.086487645,36.93738401,3.040188454,0,6.372529262,11.33864751,1.059412544
0,A23053,/OK,2.596726463,DF_1,-7.499357118,2.597325374,MDL-012,Client_A,PRD_A,Quartz,10,Alpha,EXP-001,DES-001,PRE-004,24,17,10,18.75359534,17.46844796,15.92922574,0.729187531,17.3816981,2.6,,,155,0.5,1.37,48,3,45,3,30,3,6.4,1.1,4.3,134,0.36,1.335,44.5,2.72,42.9,2.3,19,2.3,5.6,10.5,0.96,4,125,0.3,1.32,43,2.6,42,2,15,2,5.3,10.1,0.9,155,0.5,1.37,48,3,45,3,30,3,6.4,1.1,185,0.7,1.42,53,3.4,48,30,4,45,4,1,7.5,1.3,5.285582464,154.7338667,0.500786437,1.365702986,48.0334991,2.91058933,45.1492704,1.199730308,3.081120086,36.89022356,3.04205065,0,6.382609105,11.33479998,1.061165895
0,A23054,/OK,2.098937685,DF_2,-5.000151752,2.098939785,MDL-046,Client_H,PRD_B,Onyx,16,Beta,EXP-002,DES-002,PRE-006,50,40,30,42.57315351,40.40793287,39.06868712,0.91024782,40.30349586,2.1,동도금-화학동,설비 에러,155,1,1.35,48,3,45,3,30,3,6.4,1.1,4.3,134,0.79,1.315,44.5,2.72,42.9,2.3,16,2.3,5.6,10.5,0.96,4,125,0.7,1.3,43,2.6,42,2,10,2,5.3,10.1,0.9,155,1,1.35,48,3,45,3,30,3,6.4,1.1,185,1.3,1.4,53,3.4,48,30,4,50,4,1,7.5,1.3,46.86809488,152.5132413,1.00969472,1.344374611,48.04267064,2.85537111,45.06451517,1.202756043,3.222295297,30.84663577,3.284021184,0,6.392992688,11.35272841,1.071919333
0.0023,A23055,/미부식,3.000656507,DF_1,-7.485641811,2.847198892,MDL-007,Client_A,PRD_A,Quartz,10,Alpha,EXP-001,DES-003,PRE-003,24,17,10,18.20932032,17.15014797,16.02970178,0.613869318,17.21330352,2.85,,,155,0.5,1.37,48,3,45,3,30,3,6.4,1.1,4.3,134,0.36,1.356,44.5,2.72,42.9,2.3,16,2.3,5.6,10.5,0.96,4,125,0.3,1.35,43,2.6,42,2,10,2,5.3,10.1,0.9,155,0.5,1.37,48,3,45,3,30,3,6.4,1.1,185,0.7,1.39,53,3.4,48,30,4,50,4,1,7.5,1.3,6.170251596,150.8230136,0.518989417,1.37288444,48.07430354,2.832512243,44.29471082,8.091254211,3.397180124,28.50948295,3.041019244,0,6.431904273,11.39169487,1.101275173
